"id","date_collected","retailer_type","retailer_detail","food_type","food_detail","label_type","label_language","label_date","approximate_dollar_value","image_id","collection_lat","collection_long","label_explanation"
"5e4435a1c435958777371fc9","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","yogurt","package printed","","2020","1.25","IMG_1900","40.69335","-73.9915",""
"5e44362fc435958777371fca","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","organic yogurt","package printed","best by","2020-03-25","3.09","IMG_1902","40.69335","-73.9915",""
"5e44378ec435958777371fcb","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","organic oven roasted chicken breast","package printed","use or freeze by","2020-02-01","8.09","IMG_1905","40.69335","-73.9915",""
"5e4437c6c435958777371fcc","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","organic oven roasted chicken breast","package printed","use or freeze by","2020-02-07","8.09","IMG_1907","40.69335","-73.9915",""
"5e4445aac435958777371fcd","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","organic white flour torilla","package printed","","2019-03-31 21:16:00","4.38","IMG_1908","40.69335","-73.9915",""
"5e4445e8c435958777371fce","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","organic white flour torilla","package printed","","2019-03-31 21:14:00","4.38","IMG_1909","40.69335","-73.9915",""
"5e444759c435958777371fcf","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","brown rice torilla","package printed","t2513 dv","2019-09-11","4.38","IMG_1910","40.69335","-73.9915","lot numbers indicate the date of production and are used to track product for production and quality control purposes. we guarantee these products for 12 months when kept frozen from this date."
"5e4449bcc435958777371fd0","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","organic sprouted grain torilla","sticker","","2020-02-11","4.49","IMG_1911","40.69335","-73.9915",""
"5e444b3bc435958777371fd1","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","millet and chia sliced bread","sticker","","2020-02-11","6.99","IMG_1912","40.69335","-73.9915",""
"5e444becc435958777371fd2","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","organic rocky mountain sourdough bread","sticker","","2020-02-11","5.99","IMG_1913","40.69335","-73.9915",""
"5e444ce5c435958777371fd3","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","shelf stable","organic cinnamon sticks","package printed","best by","2022-09-01","5.99","IMG_1915","40.69335","-73.9915",""
"5e4b37221c21c2a1bf62a7b3","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","shelf stable","organic marjoram","package printed","best by","","5.99","IMG_1916","40.69335","-73.9915",""
"5e4b37ae1c21c2a1bf62a7b4","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","organic sundried tomatoes","package printed","best by","2020-04-15","5.99","IMG_1917","40.69335","-73.9915",""
"5e4b39b11c21c2a1bf62a7b5","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","shelf stable","halva","package printed","by","2021-10-28","5.99","IMG_1918","40.69335","-73.9915",""
"5e4d3dfda5612b4eadee87c4","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","plant-based sausage","sticker","","2020-02-11","11.29","IMG_1919","40.69335","-73.9915",""
"5e4d3e1ba5612b4eadee87c5","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","plant-based sausage","sticker","","2020-02-11","11.29","IMG_1921","40.69335","-73.9915",""
"5e4d3e2ba5612b4eadee87c6","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","plant-based sausage","sticker","","2020-02-11","11.29","IMG_1922","40.69335","-73.9915",""
"5e4d4971a5612b4eadee87c7","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","organic riced cauliflower","package printed","best if used by","2020-02-10","5.19","IMG_1923","40.69335","-73.9915",""
"5e4d49a2a5612b4eadee87c8","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","organic riced cauliflower","package printed","best if used by","2020-02-10","5.19","IMG_1924","40.69335","-73.9915",""
"5e4d4a13a5612b4eadee87c9","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","organic riced cauliflower","package printed","best if used by","2020-02-10","5.19","IMG_1925","40.69335","-73.9915",""
"5e4d4a33a5612b4eadee87ca","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","organic riced cauliflower","package printed","best if used by","2020-02-10","5.19","IMG_1926","40.69335","-73.9915",""
"5e4d4abba5612b4eadee87cb","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","organic yogurt","package printed","","2020-02-11","0.75","IMG_1927","40.69335","-73.9915",""
"5e4d4ca4a5612b4eadee87cc","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","pasteurized grade a goat milk","package printed","sell by","2020-02-14","14.99","IMG_1929","40.69335","-73.9915",""
"5e4d4cada5612b4eadee87cd","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","pasteurized grade a goat milk","package printed","sell by","2020-02-14","14.99","IMG_1930","40.69335","-73.9915",""
"5e4d4cbba5612b4eadee87ce","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","pasteurized grade a goat milk","package printed","sell by","2020-02-14","14.99","IMG_1931","40.69335","-73.9915",""
"5e4d4cc5a5612b4eadee87cf","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","pasteurized grade a goat milk","package printed","sell by","2020-02-14","14.99","IMG_1932","40.69335","-73.9915",""
"5e4d4ccca5612b4eadee87d0","2020-02-11","health food grocer","ready-to-eat, shelf-stable, frozen, and perishable health food","perishable","pasteurized grade a goat milk","package printed","sell by","2020-02-14","14.99","IMG_1933","40.69335","-73.9915",""
"5e62a8a357dbdc6ff70045a3","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","eggs","package printed","exp","2021-03-05","4.99","IMG_1960","40.69415","-73.99233",""
"5e62a90057dbdc6ff70045a4","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","american cheese slices","package printed","","2019-12-29","4.99","IMG_1961","40.69415","-73.99233",""
"5e62a9a957dbdc6ff70045a5","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","yogurt","package printed","","2020-03-13","1.89","IMG_1963","40.69415","-73.99233",""
"5e62a9de57dbdc6ff70045a6","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","yogurt","package printed","","2020-03-12","1.89","IMG_1964","40.69415","-73.99233",""
"5e62aa2957dbdc6ff70045a7","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","yogurt","package printed","","2020-03-13","1.89","IMG_1965","40.69415","-73.99233",""
"5e62aa3c57dbdc6ff70045a8","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","yogurt","package printed","","2020-03-13","1.89","IMG_1966","40.69415","-73.99233",""
"5e62aa5857dbdc6ff70045a9","2020-03-05","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","yogurt","package printed","","2020-03-13","1.89","IMG_1968","40.69415","-73.99233",""
